iter	Passed	Remaining
399	28694	114779
400	28766	114708
401	28834	114621
402	28901	114529
403	28961	114413
404	29035	114350
405	29101	114253
406	29164	114151
407	29241	114098
408	29309	114012
409	29374	113917
410	29451	113866
411	29518	113777
412	29593	113715
413	29660	113626
414	29723	113520
415	29788	113426
416	29860	113355
417	29923	113251
418	29988	113153
419	30056	113069
420	30120	112969
421	30187	112879
422	30258	112807
423	30331	112741
424	30403	112671
425	30469	112579
426	30531	112473
427	30598	112386
428	30669	112313
429	30736	112222
430	30810	112159
431	30880	112085
432	30944	111985
433	31013	111905
434	31078	111810
435	31146	111727
436	31215	111647
437	31286	111574
438	31349	111474
439	31414	111378
440	31490	111325
441	31552	111218
442	31619	111130
443	31687	111050
444	31748	110941
445	31812	110844
446	31889	110791
447	31957	110708
448	32027	110632
449	32099	110564
450	32165	110476
451	32235	110399
452	32307	110330
453	32370	110232
454	32448	110180
455	32514	110093
456	32579	110001
457	32640	109893
458	32711	109820
459	32771	109713
460	32831	109605
461	32906	109546
462	32969	109447
463	33039	109371
464	33107	109289
465	33171	109194
466	33233	109092
467	33305	109024
468	33370	108934
469	33436	108848
470	33510	108783
471	33572	108683
472	33643	108610
473	33709	108526
474	33776	108441
475	33839	108341
476	33911	108275
477	33978	108189
478	34050	108121
479	34112	108023
480	34175	107927
481	34239	107834
482	34313	107770
483	34386	107706
484	34456	107633
485	34522	107544
486	34585	107449
487	34644	107340
488	34717	107275
489	34783	107191
490	34845	107092
491	34906	106989
492	34977	106920
493	35047	106846
494	35115	106765
495	35184	106689
496	35260	106634
497	35325	106543
498	35421	106549
499	35483	106450
500	35554	106379
501	35616	106282
502	35681	106191
503	35739	106084
504	35810	106012
505	35882	105945
506	35950	105865
507	36011	105764
508	36072	105666
509	36143	105594
510	36211	105515
511	36274	105423
512	36348	105361
513	36418	105288
514	36485	105205
515	36549	105114
516	36622	105050
517	36685	104958
518	36750	104870
519	36822	104802
520	36881	104699
521	36947	104615
522	37020	104548
523	37085	104462
524	37152	104381
525	37223	104309
526	37288	104223
527	37349	104126
528	37420	104055
529	37484	103966
530	37558	103903
531	37624	103820
532	37689	103733
533	37755	103650
534	37822	103569
535	37879	103462
536	37944	103374
537	38021	103323
538	38087	103237
539	38159	103171
540	38227	103094
541	38294	103013
542	38355	102916
543	38426	102847
544	38494	102769
545	38561	102690
546	38626	102603
547	38690	102515
548	38758	102439
549	38827	102362
550	38890	102273
551	38951	102177
552	39022	102106
553	39096	102045
554	39158	101952
555	39232	101892
556	39296	101804
557	39361	101718
558	39432	101649
559	39502	101577
560	39564	101484
561	39637	101422
562	39701	101334
563	39766	101250
564	39836	101178
565	39897	101083
566	39960	100994
567	40031	100923
568	40098	100845
569	40167	100771
570	40234	100690
571	40297	100603
572	40362	100519
573	40434	100452
574	40500	100371
575	40564	100283
576	40634	100211
577	40703	100138
578	40773	100067
579	40843	99995
580	40913	99925
581	40989	99868
582	41061	99800
583	41122	99707
584	41198	99650
585	41266	99575
586	41330	99490
587	41402	99421
588	41507	99433
589	41570	99346
590	41645	99287
591	41711	99206
592	41775	99119
593	41838	99032
594	41910	98965
595	41980	98893
596	42044	98808
597	42112	98732
598	42181	98657
599	42245	98573
600	42313	98495
601	42380	98419
602	42444	98332
603	42503	98236
604	42581	98184
605	42647	98103
606	42710	98016
607	42772	97925
608	42844	97860
609	42904	97765
610	42972	97690
611	43046	97629
612	43109	97541
613	43175	97461
614	43246	97391
615	43315	97318
616	43378	97231
617	43451	97168
618	43516	97085
619	43575	96991
620	43648	96927
621	43711	96838
622	43776	96759
623	43849	96693
624	43911	96604
625	43977	96526
626	44047	96455
627	44113	96375
628	44178	96294
629	44249	96225
630	44316	96148
631	44391	96088
632	44453	96000
633	44516	95914
634	44581	95832
635	44652	95763
636	44712	95671
637	44772	95579
638	44847	95520
639	44912	95440
640	44981	95365
641	45050	95294
642	45121	95224
643	45196	95165
644	45260	95081
645	45322	94993
646	45377	94893
647	45451	94830
648	45514	94746
649	45582	94672
650	45650	94596
651	45713	94511
652	45786	94446
653	45857	94379
654	45926	94307
655	45999	94243
656	46067	94168
657	46124	94071
658	46192	93997
659	46265	93933
660	46330	93852
661	46397	93776
662	46467	93705
663	46529	93620
664	46598	93547
665	46671	93482
666	46732	93395
667	46794	93308
668	46868	93246
669	46931	93161
670	46997	93084
671	47070	93019
672	47134	92937
673	47197	92855
674	47266	92781
675	47331	92702
676	47408	92646
677	47474	92568
678	47539	92487
679	47598	92397
680	47662	92315
681	47723	92228
682	47786	92144
683	47855	92073
684	47919	91990
685	47982	91908
686	48050	91834
687	48121	91767
688	48184	91683
689	48254	91613
690	48326	91546
691	48398	91482
692	48459	91393
693	48534	91334
694	48603	91262
695	48669	91185
696	48733	91103
697	48793	91015
698	48855	90931
699	48921	90854
700	48988	90778
701	49052	90699
702	49127	90638
703	49190	90554
704	49252	90470
705	49319	90396
706	49380	90309
707	49445	90230
708	49514	90159
709	49576	90074
710	49635	89986
711	49705	89916
712	49768	89834
713	49829	89748
714	49899	89679
715	49965	89602
716	50038	89538
717	50111	89474
718	50174	89392
719	50247	89329
720	50313	89253
721	50376	89170
722	50438	89086
723	50505	89013
724	50569	88931
725	50631	88849
726	50692	88763
727	50767	88704
728	50831	88624
729	50896	88545
730	50973	88489
731	51037	88410
732	51105	88336
733	51182	88278
734	51247	88201
735	51309	88117
736	51386	88061
737	51446	87974
738	51509	87894
739	51575	87817
740	51642	87742
741	51703	87659
742	51774	87591
743	51843	87521
744	51914	87453
745	51983	87382
746	52047	87302
747	52118	87236
748	52185	87161
749	52253	87088
750	52315	87007
751	52388	86942
752	52453	86864
753	52523	86795
754	52590	86722
755	52655	86643
756	52718	86563
757	52785	86490
758	52853	86417
759	52913	86331
760	52991	86276
761	53055	86198
762	53130	86137
763	53193	86056
764	53259	85980
765	53323	85902
766	53393	85833
767	53459	85757
768	53532	85693
769	53595	85613
770	53660	85537
771	53722	85455
772	53793	85388
773	53856	85308
774	53920	85229
775	53985	85151
776	54062	85094
777	54142	85041
778	54216	84979
779	54282	84903
780	54348	84828
781	54412	84749
782	54477	84672
783	54550	84608
784	54614	84530
785	54688	84468
786	54754	84392
787	54820	84317
788	54884	84240
789	54963	84183
790	55025	84103
791	55097	84038
792	55161	83959
793	55225	83881
794	55289	83803
795	55366	83745
796	55427	83662
797	55488	83579
798	55554	83505
799	55616	83424
800	55677	83341
801	55745	83270
802	55806	83189
803	55868	83108
804	55946	83051
805	56008	82970
806	56078	82901
807	56141	82823
808	56212	82755
809	56285	82690
810	56358	82627
811	56421	82547
812	56486	82471
813	56551	82395
814	56614	82316
815	56679	82240
816	56750	82174
817	56820	82104
818	56881	82023
819	56945	81946
820	57012	81872
821	57073	81791
822	57136	81712
823	57207	81645
824	57271	81569
825	57340	81498
826	57409	81428
827	57471	81348
828	57542	81281
829	57614	81214
830	57680	81141
831	57753	81077
832	57817	80999
833	57881	80922
834	57949	80851
835	58022	80787
836	58086	80709
837	58153	80638
838	58220	80564
839	58283	80487
840	58348	80410
841	58420	80345
842	58482	80265
843	58546	80189
844	58619	80124
845	58683	80048
846	58749	79974
847	58817	79903
848	58885	79831
849	58953	79761
850	59018	79685
851	59083	79610
852	59151	79539
853	59221	79470
854	59285	79394
855	59349	79317
856	59421	79252
857	59487	79178
858	59555	79106
859	59627	79041
860	59694	78969
861	59760	78895
862	59829	78825
863	59895	78750
864	59957	78672
865	60030	78607
866	60094	78531
867	60159	78456
868	60220	78377
869	60296	78316
870	60359	78238
871	60418	78156
872	60481	78079
873	60558	78019
874	60624	77945
875	60688	77869
876	60756	77798
877	60830	77735
878	60902	77669
879	60971	77600
880	61039	77529
881	61101	77451
882	61165	77374
883	61235	77305
884	61296	77226
885	61359	77149
886	61422	77072
887	61497	77010
888	61559	76931
889	61623	76856
890	61686	76779
891	61759	76714
892	61824	76640
893	61894	76572
894	61957	76495
895	62034	76435
896	62095	76356
897	62155	76276
898	62232	76215
899	62294	76138
900	62371	76078
901	62438	76006
902	62499	75926
903	62560	75847
904	62628	75776
905	62692	75701
906	62759	75629
907	62837	75571
908	62904	75499
909	62974	75430
910	63039	75357
911	63110	75290
912	63176	75216
913	63248	75151
914	63307	75070
915	63376	74999
916	63449	74935
917	63511	74858
918	63579	74786
919	63656	74727
920	63725	74657
921	63796	74591
922	63865	74521
923	63929	74445
924	64009	74389
925	64088	74331
926	64159	74264
927	64224	74190
928	64295	74123
929	64356	74044
930	64419	73968
931	64490	73900
932	64548	73818
933	64607	73738
934	64674	73666
935	64735	73588
936	64796	73510
937	64872	73448
938	64948	73386
